Mesh Points,Price,Delta,Gamma
110,18.5035,0.541142,
110.5,18.7754,0.54661,
111,19.0501,0.552109,
111.5,19.3276,0.557637,
112,19.6078,0.563196,
112.5,19.8908,0.568786,
113,20.1765,0.574405,
113.5,20.4652,0.580055,
114,20.7566,0.585735,
114.5,21.0509,0.591446,
115,21.3481,0.597187,
115.5,21.6481,0.602959,
116,21.951,0.608761,
116.5,22.2569,0.614593,
117,22.5656,0.620457,
117.5,22.8773,0.62635,
118,23.192,0.632274,
118.5,23.5096,0.638229,
119,23.8302,0.644215,
119.5,24.1538,0.650231,
120,24.4804,0.656278,
