Mesh Points,Call Price,Put Price,Call Delta,Put Delta,Gamma
60,2.13337,5.84628,0.372484,-0.627516,0.0420423
60.5,2.32488,5.53779,0.393597,-0.606403,0.0423871
61,2.52699,5.2399,0.414849,-0.585151,0.0426028
61.5,2.73974,4.95266,0.436178,-0.563822,0.0426908
62,2.96317,4.67608,0.457519,-0.542481,0.0426532
62.5,3.19725,4.41017,0.47881,-0.52119,0.0424934
63,3.44196,4.15487,0.499992,-0.500008,0.0422157
63.5,3.69722,3.91013,0.521007,-0.478993,0.0418253
64,3.96293,3.67584,0.541799,-0.458201,0.0413278
64.5,4.23897,3.45189,0.562318,-0.437682,0.0407299
65,4.5252,3.23811,0.582513,-0.417487,0.0400385
65.5,4.82143,3.03434,0.602341,-0.397659,0.039261
66,5.12747,2.84039,0.621761,-0.378239,0.0384051
66.5,5.44312,2.65603,0.640734,-0.359266,0.0374787
67,5.76813,2.48104,0.659229,-0.340771,0.03649
67.5,6.10227,2.31518,0.677215,-0.322785,0.0354469
68,6.44526,2.15817,0.694668,-0.305332,0.0343573
68.5,6.79684,2.00976,0.711566,-0.288434,0.0332293
69,7.15673,1.86965,0.727892,-0.272108,0.0320703
69.5,7.52464,1.73756,0.743632,-0.256368,0.0308878
70,7.90027,1.61319,0.758777,-0.241223,0.0296887
